MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Num Entries,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph,PathChange
220206000.0,25.84073,-79.9409,14.4,57.0,70.0,70.0,0.0,352.0,42.0,15.0,71.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
220518000.0,39.42147,-71.34695,13.9,72.0,78.0,80.0,0.0,228.0,32.0,14.4,71.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,0
257408000.0,39.33522,-76.19007,12.4,46.0,48.0,70.0,5.0,228.0,32.0,10.0,70.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636091717.0,27.35538,-79.52113,17.1,8.8,10.0,70.0,0.0,264.0,32.0,13.5,70.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
538005888.0,40.64183,-74.14383,6.9,82.8,79.0,70.0,0.0,335.0,42.0,14.5,71.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
414706000.0,27.79213,-78.2431,11.3,254.6,252.0,70.0,0.0,225.0,32.0,14.2,70.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636014310.0,38.08722,-73.47227,12.7,290.0,288.0,80.0,0.0,274.0,48.0,17.2,89.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
370507000.0,32.58935,-79.55547,0.1,270.0,197.0,70.0,1.0,259.0,32.0,12.6,71.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
538004934.0,27.71727,-78.43049,13.3,251.3,247.0,80.0,0.0,250.0,44.0,14.8,71.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
228368900.0,40.04917,-66.6997,17.0,282.4,283.0,71.0,0.0,334.0,43.0,11.0,71.0,0,13,6,16.3,76.8,40.0,1004.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.291832130285744,1
